citation_key,authors,year,study_design,mapping_type,onet_code,onet_label,log_ratio,log_ratio_variance,percent_change_equivalent,n_human,n_ai,computation_method,confidence,notes
dillon_2025_shifting_work,Eleanor W. Dillon; Sonia Jaffe; Nicole Immorlica; Christopher T. Stanton,2025,field_experiment,work_activity,WA-25,Working with Computers,0.1274449465681203,,0.13592233009708732,3453,3684,means_only_no_variance,low,"The paper reports both ITT (intent-to-treat) and LATE (local average treatment effect) estimates. Using ITT estimates: 1.4 fewer hours per week represents a 12% decline. The means provided are: control (pre-period baseline) = 11.7 hours, copilot_access (post-period) = 10.3 hours. The 12% reduction is signed negative because time decreased (smaller is better for time-based outcomes). LATE estimates show 2 fewer hours (17% decline) but ITT is more conservative and standard for primary analysis. | SDs/SEs missing; variance not computable"
asam_2025_generative_startup,Dominik Asam; David Heller,2025,natural_experiment,work_activity,WA-01,Analyzing Data or Information,0.21072103131565253,,0.23456790123456783,,,reported_pct_change_no_ci,low,"This is a difference-in-differences study examining the effect of GitHub Copilot's release on software-developing startups. The primary result shows a 19% reduction in time-to-funding (4-month decrease). The regression coefficient β = -4.793 months is in levels (not log-transformed), representing the DiD estimate. Standard error is not reported in the extraction. The paper reports p < 0.01 significance. The 19% figure appears to be calculated as 4.793/baseline_mean, but the exact baseline mean for the treatment group pre-period is not explicitly provided in the extracted statistics (though Column III mentions a mean of 20.768 months for comparison). Without SE and baseline mean, Python will need to rely on the reported percent change of -19% (negative because time decreased, which is beneficial). | CI missing; variance not computable"
he_2026_cursor_velocity,Hao He; Courtney Miller; Shyam Agarwal; Christian Kästner; Bogdan Vasilescu,2026,natural_experiment,work_activity,WA-25,Working with Computers,0.025960101669531624,0.0004790459203817875,0.02629999999999999,2340,806,reported_pct_change_with_ci,high,"This is a DiD natural experiment using the Borusyak et al. estimator as the primary specification. The outcome (commits) is count data, and larger values indicate higher productivity (more commits = better). The regression coefficient is reported with SE in parentheses. The paper does not explicitly state log transformation, but the coefficient (0.0260) matches the percent change (+2.63%), which is standard for log-transformed outcomes in DiD models where exp(coef)-1 ≈ coef for small values. The ±4.40% confidence interval translates to approximately [-0.0177, +0.0703] around the 2.63% point estimate. Multiple robustness checks are reported (TWFE, Callaway-Sant'Anna, month-specific effects) but the Borusyak et al. estimate is presented as the primary result in Table 2."
ju_2026_collaborating_ai,Harang Ju; Sinan Aral,2026,rct,work_activity,WA-13,Thinking Creatively,0.4054651081081644,,0.5,976,1258,reported_pct_change_no_ci,low,"The paper reports a 50% increase in productivity (ads per worker per unit time) for human-AI vs human-human teams. A regression coefficient β=1.954 (SE=0.197) is also reported for the same comparison. The outcome transformation (log, asinh, or levels) is not explicitly stated in the provided data, so regression_outcome_is_log is left null. The measurement unit is 'count of ad submissions' which is a throughput/productivity measure, so larger_is_better. Additional regression coefficients are reported for communication and delegation effects but these are not the primary human-AI vs human-human comparison. | CI missing; variance not computable"
kreitmeir_2024_chatgpt_productivity,David Kreitmeir; Paul A. Raschky,2024,natural_experiment,work_activity,WA-25,Working with Computers,0.08916794457118084,0.0017858301575536142,0.09326424870466321,36358,36358,regression_coef_level_with_baseline,medium,"The paper uses a difference-in-differences design with binary outcome indicators (0/1 for any activity on a given day). The primary outcome is 'Output (Shen, 2023)' which aggregates commits and pull requests. The treatment effect is LOSING ChatGPT access, so the sign must be reversed: a positive coefficient on Treated×Post means losing AI INCREASED output (counterintuitive), while a negative coefficient means losing AI DECREASED output (AI helps). For the LESS EXPERIENCED subsample (N=18,710 users, 149,680 user-days), the coefficient is +0.0216** (SE=0.0107), meaning losing ChatGPT INCREASED their output—suggesting ChatGPT was actually HURTING their productivity. The baseline mean (dep. var. mean) for this group is 0.2316. The overall sample shows mixed/null effects, but the paper emphasizes heterogeneity by experience level. I selected the less-experienced subsample as it shows the clearest, statistically significant effect and is highlighted in the abstract and discussion. The outcome is in levels (not log-transformed), so I provide the baseline mean to enable log-ratio computation. Standard errors are reported in parentheses in Table 1. Sample size n=36,358 unique users across all countries (treatment+control), with 18,710 classified as less experienced."
becker_2025_ai_developer_productivity,Joel Becker; Nate Rush; Beth Barnes; David Rein,2025,rct,occupation,15-1252.00,Software Developers,-0.17395330712343798,,-0.15966386554621848,110,136,reported_pct_change_no_ci,low,"The primary outcome is already expressed as a percentage change in completion time. The paper reports that AI increases completion time by 19% (a slowdown). Since completion time is a time-type metric where smaller is better, the AI arm performed worse (took longer). The reported_percent_change is +0.19 because the AI-allowed condition took 19% MORE time than the AI-disallowed condition. No raw means, SDs, or confidence intervals for the percentage change are provided in the input. | CI missing; variance not computable"
edelman_2023_copilot_productivity,Ben Edelman; Donald Ngwe; Sida Peng,2023,rct,work_activity,WA-22,Getting Information,0.3056756374997935,,0.35754189944134085,,,means_only_no_variance,low,"Primary statistic extracted from Experiment 1. The paper reports 26.6% faster completion time with Copilot, which translates to a -0.266 relative change (time decreased). Experiment 2 shows similar results (29.4% faster, means 29.7 vs 42.1 minutes). Sample sizes (n) are not provided in the arms data. The third reported statistic compares subjective vs actual time savings within the copilot group and is not a between-arm comparison, so it was not used. | SDs/SEs missing; variance not computable"
merali_2024_scaling_productivity,Ali Merali,2024,rct,occupation,27-3091.00,Interpreters and Translators,0.3727128765446731,,0.45166747220879655,,,means_only_no_variance,low,"Sample sizes (n_human and n_ai) are not provided in the arms data. The primary comparison shows a 31.1% reduction in task completion time with AI assistance (600.7 seconds without AI vs 413.8 seconds with AI, p=0.000). Since time is the outcome and smaller is better, the percent change is negative (-0.311). Additional statistics about scaling relationships with model compute are reported but not extracted as they do not represent the primary human-only vs human+AI comparison. | SDs/SEs missing; variance not computable"
noy_2023_chatgpt_productivity,Shakked Noy; Whitney Zhang,2023,rct,work_activity,WA-25,Working with Computers,0.46262352194811296,,0.588235294117647,222,222,means_only_no_variance,low,The paper reports that the treatment group completed tasks '10 minutes faster (37% reduction)' relative to the control group mean of 27 minutes. This allows us to compute m_ai = 27 - 10 = 17 minutes. The 37% reduction is expressed as -0.37 in reported_percent_change (negative because time decreased). No SDs or SEs are reported for either arm. | SDs/SEs missing; variance not computable
peng_2023_copilot_productivity,Sida Peng; Eirini Kalliamvakou; Peter Cihon; Mert Demirer,2023,rct,work_activity,WA-25,Working with Computers,0.8156495203517637,,1.2606435295770688,50,45,means_only_no_variance,low,"The paper reports task completion time in minutes (smaller is better). The treatment group completed the task 55.8% faster, which represents a reduction in time. The 95% CI [21%, 89%] refers to the percent reduction/improvement. Means are clearly reported: control = 160.89 min, copilot = 71.17 min. Multiple heterogeneous effect regression coefficients are reported but these are interaction terms, not the main effect, so they are not used for the primary log ratio calculation. | SDs/SEs missing; variance not computable"
stray_2026_copilot_productivity,Viktoria Stray; Elias Goldmann Brandtzæg; Viggo Tellefsen Wivestad; Astri Barbala; Nils Brede Moe,2026,observational,occupation,15-1252.00,Software Developers,0.6190392084062235,,0.8571428571428572,14,25,means_only_no_variance,low,"Extracted approximate means from Figure 2 (lower panel showing 'Number of Commits'). Before Copilot introduction (2023-09-01), non-users averaged approximately 3.5 commits/week and Copilot users averaged approximately 6.5 commits/week. After Copilot introduction, both groups maintained similar levels with no statistically significant change. The paper states 'We did not find any statistically significant changes in commit-based activity for Copilot users after they adopted the tool' and Mann-Whitney U tests confirmed Copilot users were significantly more active than non-users (p < 0.00555) both before and after adoption. Figure 3 shows similar patterns. No standard deviations or standard errors are reported in the text or figures. The 95% confidence intervals shown in figures are visual only and exact values are not provided in tables. | SDs/SEs missing; variance not computable"
tipnis_2025_ai_philanthropy,Vinit S. Tipnis; Eunae Yoo; Gloria Urrea; Fei Gao,2025,natural_experiment,work_activity,WA-25,Working with Computers,-0.2395270305647338,,-0.21299999999999997,360,360,reported_pct_change_no_ci,low,"Primary outcome is ln(Tasks_it), the log-transformed number of tasks completed by volunteer i in month t. The paper reports a DID coefficient of -0.240*** (SE=0.052) for the Treated_it variable in Table 1. The authors interpret this as 'volunteers reduce their monthly contributions by 21.3% on average' (page 17), which they calculate as e^(-0.240) - 1 = -0.213. The outcome is explicitly log-transformed (larger values = more tasks = better), so the negative coefficient indicates AI introduction reduces volunteer engagement. Sample sizes are from the matched CEM sample: 360 treated and 360 control volunteers (Table EC.2). The regression uses volunteer and month fixed effects with clustered standard errors. | CI missing; variance not computable"
usdan_2024_generative_writing,Jordan H. Usdan; Harley Chang; Allison E. Connell Pensky,2024,within_subject,work_activity,WA-14,Processing Information,1.0354759492938714,,1.8164464023494866,,,means_only_no_variance,low,"Within-subject design with paired observations. The test statistic is reported as F(1,23) = 23.15, suggesting 24 total participants who each completed both conditions. Sample sizes (n) are not explicitly stated in the arms array but can be inferred from the F-test degrees of freedom. The mean difference is M_ai - M_human = 68.1 - 191.8 = -123.7 minutes. The reported percent change of 64.5% reduction is expressed as -0.645. | SDs/SEs missing; variance not computable"
christensen_2025_fraud_risk,Brant E. Christensen; Scott A. Emett; Marc Eulerich; David A. Wood,2025,rct,work_activity,WA-01,Analyzing Data or Information,0.2568754955075765,,0.29288414685373443,,,means_only_no_variance,low,"Primary outcome is task efficiency measured in seconds (time to complete fraud risk assessment). Two subgroups reported: novice and experienced auditors. Using novice auditor data as primary comparison since it shows statistically significant effect (p=0.01) and is reported first. The paper states novices were '23 percent faster' with GenAI. Sample sizes (n) are not provided in the arms array. Standard deviations/standard errors are not reported, only means and t-statistics. The experienced auditor comparison shows similar pattern but non-significant at conventional alpha (p=0.09 one-tailed). | SDs/SEs missing; variance not computable"
yeverechyahu_2026_llm_opensource,Doron Yeverechyahu; Raveesh Mayya; Gal Oestreicher-Singer,2026,natural_experiment,work_activity,WA-25,Working with Computers,0.3332527739942398,,0.39549999999999996,1187,1187,reported_pct_change_no_ci,low,"This is a difference-in-differences natural experiment. The primary specification (TWFE) reports a regression coefficient of 6.816 commits per quarter increase (p<0.001), representing a 39.55% increase. The outcome is in levels (commits per quarter), not log-transformed. The pre-treatment mean for the treated group (Python packages before Copilot) is 17.235 commits per quarter, which serves as the baseline. Multiple robustness checks are reported (balanced panel: 5.496 commits/31.89%; synthetic DiD: 4.894 commits/28.40%), and a temporal control design using only Python packages across eras confirms the effect (4.638 commits/27.13%). Using the primary TWFE specification with the baseline mean allows computation of log ratio as log(17.235 + 6.816) / log(17.235). The Rust vs Haskell comparison is an additional robustness check but Python vs R is the primary analysis. | CI missing; variance not computable"
choi_2023_lawyering_ai,Jonathan H. Choi; Amy B. Monahan; Daniel Schwarcz,2023,rct,occupation,23-1011.00,Lawyers,0.2754559983204052,0.016756352487163256,0.3171311475409835,30,30,means_and_sds,high,"Within-subject crossover design with 30 participants completing tasks both with and without GPT-4. The same participants are measured in both conditions. Time is the outcome (minutes), so smaller is better. The reported percent change of -24.1% indicates GPT-4 reduced time by 24.1%. The 95% CI [-64.00, -13.36] appears to be for the raw difference in minutes, not the percent change."
choi_2023_lawyering_ai,Jonathan H. Choi; Amy B. Monahan; Daniel Schwarcz,2023,within_subject,occupation,23-1011.00,Lawyers,0.2754559983204052,0.008520179230760977,0.3171311475409835,59,59,means_and_sds,high,"Within-subject crossover design with 59 total participants (30 in Group A + 29 in Group B). All participants completed the complaint drafting task both with and without GPT-4 assistance. The reported difference of -38.77 minutes represents a 24.1% reduction in time. The 95% CI (-64.00, -13.36) applies to the mean difference in minutes, not the percent change. Total n is 59 (sum of both groups), as each participant contributed both a with-AI and without-AI observation for this task."
cui_2025_generative_ai_developers,Kevin Zheyuan Cui; Mert Demirer; Sonia Jaffe; Leon Musolff; Sida Peng; Tobias Salz,2025,field_experiment,occupation,15-1252.00,Software Developers,0.23174644012147758,,0.2607999999999999,,,reported_pct_change_no_ci,low,"Primary effect is a 26.08% increase in pull requests completed (SE: 10.3%) from the combined IV estimate across three experiments with 4,867 developers. The outcome is a throughput measure (number of weekly pull requests), so larger values indicate better performance. Raw means and SDs are not reported; only the percent change is available. Sample sizes per arm are not specified in the arms array (both show n=null), though total N=4,867 is mentioned. The SE of 10.3% applies to the percent change estimate itself. | CI missing; variance not computable"
yeverechyahu_2025_github_copilot,Doron Yeverechyahu; Raveesh Mayya; Gal Oestreicher-Singer,2025,natural_experiment,work_activity,WA-25,Working with Computers,0.3151756367607035,,0.37050000000000005,1187,1187,reported_pct_change_no_ci,low,"This is a difference-in-differences natural experiment comparing Python (treated with Copilot support) vs R (control, no Copilot support). The outcome is in levels (raw commit counts), not log-transformed. The regression coefficient represents the DiD estimate (treatment × post interaction). The baseline mean of 18.395 is explicitly stated as the pre-treatment mean for the control group (R). Multiple specifications are reported (main, balanced panel, SDiD); selected the main specification as primary. The Rust vs Haskell comparison provides a robustness check but Python vs R is the main analysis. | CI missing; variance not computable"
haslberger_2025_ai_productivity,Matthias Haslberger; Jane Gingrich; Jasmine Bhatia,2025,rct,work_activity,WA-14,Processing Information,-0.5553913429777713,0.006499332340688807,-0.42615235399806023,537,504,regression_coef_level_with_baseline,medium,"Table S1 Panel A provides the baseline constant (314.465 seconds, SE=7.554) which represents the control group mean for email task completion time. The regression coefficient (-134.010, SE=14.548) represents the treatment effect. With both the baseline mean and the regression coefficient in levels, we can compute log(1 + coef/baseline) = log(1 + (-134.010/314.465)) = log(0.574). The outcome is time in seconds (top-coded at 900), so smaller is better. The paper reports this as a 2SLS/LATE estimate where treatment assignment instruments for actual AI use."
schwarcz_2026_ai_lawyering,Daniel Schwarcz; Sam Manning; J.J. Prescott; Patrick Barry; David R. Cleveland; Beverly Rich,2026,rct,work_activity,WA-30,Documenting/Recording Information,0.22564668153232822,,0.25313283208020043,47,45,reported_pct_change_no_ci,low,"The outcome is 'fraction of allotted time' with smaller values = faster completion (time-type). The regression coefficients appear to be from a log-transformed outcome model, as the percent changes align closely with exp(β)-1 transformations (e.g., exp(-0.17)-1 ≈ -15.6%, though reported as -20.2%, suggesting possible asinh or other transformation). Treating coefficients as log-scale effects. Multiple tasks reported; extracting the first task (draft client email) for Vincent AI vs control as the primary comparison. Vincent AI chosen over o1-preview due to domain specialization, though o1-preview shows comparable or slightly larger effects on some tasks. All regression coefficients have *** indicating p<0.01. | CI missing; variance not computable"
song_2024_copilot_oss,Fangchen Song; Ashish Agarwal; Wen Wen,2024,observational,occupation,15-1252.00,Software Developers,-0.0769610411361284,,-0.07407407407407418,3146,4491,reported_pct_change_no_ci,low,"The outcome is coordination time (days), where smaller is better. The paper reports an 8% increase in coordination time with Copilot, meaning AI makes this metric worse (takes longer). The reported_percent_change is +0.08 to reflect the increase. Python will handle the direction convention appropriately. No raw means, SDs, or CIs are provided, only the percent change. Additional subgroup analyses for core and peripheral developers are also reported but the main treatment vs control comparison is used. | CI missing; variance not computable"
kim_2024_generative_ai_tutoring,Donggwan Kim; Dmitry Mitrofanov; Qingsong Wen; Tianlong Xu,2024,natural_experiment,work_activity,WA-14,Processing Information,0.30748469974796055,,0.3599999999999999,6469,12435,reported_pct_change_no_ci,low,"This is a difference-in-differences natural experiment. The primary effect is reported as a 36% increase in problems solved (0.3057 log-point coefficient on Treat·Post interaction). The outcome is log-transformed, so the regression coefficient directly approximates the log ratio. Standard error not reported in the extraction. Multiple subgroup and alternative specifications are available (high/low performers, within-student day-level comparisons), but the main DiD estimate (treated vs control, Treat·Post = 0.3057) is the primary comparison for the overall treatment effect. | CI missing; variance not computable"
